Time elapsed was,492700301465,ns or,492.700301465,s
Time elapsed was,492700242710,ns or,492.70024271,s
Time elapsed was,492700179147,ns or,492.700179147,s
Time elapsed was,492884547137,ns or,492.884547137,s
Time elapsed was,492884595655,ns or,492.884595655,s
Time elapsed was,492884730187,ns or,492.884730187,s
Time elapsed was,487208884069,ns or,487.208884069,s
Time elapsed was,487208886160,ns or,487.20888616,s
Time elapsed was,487208904323,ns or,487.208904323,s
Time elapsed was,503045986475,ns or,503.045986475,s
Time elapsed was,503045991092,ns or,503.045991092,s
Time elapsed was,503045490704,ns or,503.045490704,s
Time elapsed was,500154877592,ns or,500.154877592,s
Time elapsed was,500155184617,ns or,500.155184617,s
Time elapsed was,500155043619,ns or,500.155043619,s
Time elapsed was,494076764196,ns or,494.076764196,s
Time elapsed was,494076674112,ns or,494.076674112,s
Time elapsed was,494076904751,ns or,494.076904751,s
Time elapsed was,505278723636,ns or,505.278723636,s
Time elapsed was,505278562530,ns or,505.27856253,s
Time elapsed was,505278692119,ns or,505.278692119,s
Time elapsed was,508609660767,ns or,508.609660767,s
Time elapsed was,508609701286,ns or,508.609701286,s
Time elapsed was,508609934799,ns or,508.609934799,s
Time elapsed was,480020031358,ns or,480.020031358,s
Time elapsed was,480019891730,ns or,480.01989173,s
Time elapsed was,480020056574,ns or,480.020056574,s
Time elapsed was,,ns or,,s
Time elapsed was,,ns or,,s
Time elapsed was,,ns or,,s
